abstract,title,author,year,category,id
"  How best to quantify the information of an object, whether natural or
artifact, is a problem of wide interest. A related problem is the computability
of an object. We present practical examples of a new way to address this
problem. By giving an appropriate representation to our objects, based on a
hierarchical coding of information, we exemplify how it is remarkably easy to
compute complex objects. Our algorithmic complexity is related to the length of
the class of objects, rather than to the length of the object.
",On Ultrametric Algorithmic Information,Fionn Murtagh,2010,Artificial Intelligence,
"  In this paper we extend the new family of (quantitative) Belief Conditioning
Rules (BCR) recently developed in the Dezert-Smarandache Theory (DSmT) to their
qualitative counterpart for belief revision. Since the revision of quantitative
as well as qualitative belief assignment given the occurrence of a new event
(the conditioning constraint) can be done in many possible ways, we present
here only what we consider as the most appealing Qualitative Belief
Conditioning Rules (QBCR) which allow to revise the belief directly with words
and linguistic labels and thus avoids the introduction of ad-hoc translations
of quantitative beliefs into quantitative ones for solving the problem.
",Qualitative Belief Conditioning Rules (QBCR),"Florentin Smarandache, Jean Dezert",2007,Artificial Intelligence,
"  Many systems can be described in terms of networks of discrete elements and
their various relationships to one another. A semantic network, or
multi-relational network, is a directed labeled graph consisting of a
heterogeneous set of entities connected by a heterogeneous set of
relationships. Semantic networks serve as a promising general-purpose modeling
substrate for complex systems. Various standardized formats and tools are now
available to support practical, large-scale semantic network models. First, the
Resource Description Framework (RDF) offers a standardized semantic network
data model that can be further formalized by ontology modeling languages such
as RDF Schema (RDFS) and the Web Ontology Language (OWL). Second, the recent
introduction of highly performant triple-stores (i.e. semantic network
databases) allows semantic network models on the order of $10^9$ edges to be
efficiently stored and manipulated. RDF and its related technologies are
currently used extensively in the domains of computer science, digital library
science, and the biological sciences. This article will provide an introduction
to RDF/RDFS/OWL and an examination of its suitability to model discrete element
complex systems.
",Using RDF to Model the Structure and Process of Systems,"Marko A. Rodriguez, Jennifer H. Watkins, Johan Bollen, Carlos
  Gershenson",2008,Artificial Intelligence,
"  We try to perform geometrization of psychology by representing mental states,
<<ideas>>, by points of a metric space, <<mental space>>. Evolution of ideas is
described by dynamical systems in metric mental space. We apply the mental
space approach for modeling of flows of unconscious and conscious information
in the human brain. In a series of models, Models 1-4, we consider cognitive
systems with increasing complexity of psychological behavior determined by
structure of flows of ideas. Since our models are in fact models of the
AI-type, one immediately recognizes that they can be used for creation of
AI-systems, which we call psycho-robots, exhibiting important elements of human
psyche. Creation of such psycho-robots may be useful improvement of domestic
robots. At the moment domestic robots are merely simple working devices (e.g.
vacuum cleaners or lawn mowers) . However, in future one can expect demand in
systems which be able not only perform simple work tasks, but would have
elements of human self-developing psyche. Such AI-psyche could play an
important role both in relations between psycho-robots and their owners as well
as between psycho-robots. Since the presence of a huge numbers of
psycho-complexes is an essential characteristic of human psychology, it would
be interesting to model them in the AI-framework.
",Toward Psycho-robots,Andrei Khrennikov,2010,Artificial Intelligence,
"  Informledge System (ILS) is a knowledge network with autonomous nodes and
intelligent links that integrate and structure the pieces of knowledge. In this
paper, we aim to put forward the link dynamics involved in intelligent
processing of information in ILS. There has been advancement in knowledge
management field which involve managing information in databases from a single
domain. ILS works with information from multiple domains stored in distributed
way in the autonomous nodes termed as Knowledge Network Node (KNN). Along with
the concept under consideration, KNNs store the processed information linking
concepts and processors leading to the appropriate processing of information.
","Creating Intelligent Linking for Information Threading in Knowledge
  Networks","Dr T.R. Gopalakrishnan Nair, Meenakshi Malhotra",2011,Artificial Intelligence,
"  In this paper, we present a novel approach for Human Computer Interaction
(HCI) where, we control cursor movement using a real-time camera. Current
methods involve changing mouse parts such as adding more buttons or changing
the position of the tracking ball. Instead, our method is to use a camera and
computer vision technology, such as image segmentation and gesture recognition,
to control mouse tasks (left and right clicking, double-clicking, and
scrolling) and we show how it can perform everything as current mouse devices
can. The software will be developed in JAVA language. Recognition and pose
estimation in this system are user independent and robust as we will be using
colour tapes on our finger to perform actions. The software can be used as an
intuitive input interface to applications that require multi-dimensional
control e.g. computer games etc.
",Mouse Simulation Using Two Coloured Tapes,"Vikram Kumar, Kamran Niyazi, Swapnil Mahe, Swapnil Vyawahare",2012,Artificial Intelligence,
"  Bayesian networks (BN) are used in a big range of applications but they have
one issue concerning parameter learning. In real application, training data are
always incomplete or some nodes are hidden. To deal with this problem many
learning parameter algorithms are suggested foreground EM, Gibbs sampling and
RBE algorithms. In order to limit the search space and escape from local maxima
produced by executing EM algorithm, this paper presents a learning parameter
algorithm that is a fusion of EM and RBE algorithms. This algorithm
incorporates the range of a parameter into the EM algorithm. This range is
calculated by the first step of RBE algorithm allowing a regularization of each
parameter in bayesian network after the maximization step of the EM algorithm.
The threshold EM algorithm is applied in brain tumor diagnosis and show some
advantages and disadvantages over the EM algorithm.
","The threshold EM algorithm for parameter learning in bayesian network
  with incomplete data","Fradj Ben Lamine, Karim Kalti, Mohamed Ali Mahjoub",2011,Artificial Intelligence,
"  We mathematically model Ignacio Matte Blanco's principles of symmetric and
asymmetric being through use of an ultrametric topology. We use for this the
highly regarded 1975 book of this Chilean psychiatrist and pyschoanalyst (born
1908, died 1995). Such an ultrametric model corresponds to hierarchical
clustering in the empirical data, e.g. text. We show how an ultrametric
topology can be used as a mathematical model for the structure of the logic
that reflects or expresses Matte Blanco's symmetric being, and hence of the
reasoning and thought processes involved in conscious reasoning or in reasoning
that is lacking, perhaps entirely, in consciousness or awareness of itself. In
a companion paper we study how symmetric (in the sense of Matte Blanco's)
reasoning can be demarcated in a context of symmetric and asymmetric reasoning
provided by narrative text.
","Ultrametric Model of Mind, I: Review",Fionn Murtagh,2012,Artificial Intelligence,
"  In a companion paper, Murtagh (2012), we discussed how Matte Blanco's work
linked the unrepressed unconscious (in the human) to symmetric logic and
thought processes. We showed how ultrametric topology provides a most useful
representational and computational framework for this. Now we look at the
extent to which we can find ultrametricity in text. We use coherent and
meaningful collections of nearly 1000 texts to show how we can measure inherent
ultrametricity. On the basis of our findings we hypothesize that inherent
ultrametricty is a basis for further exploring unconscious thought processes.
","Ultrametric Model of Mind, II: Application to Text Content Analysis",Fionn Murtagh,2012,Artificial Intelligence,
"  A resistive memory network that has no crossover wiring is proposed to
overcome the hardware limitations to size and functional complexity that is
associated with conventional analogue neural networks. The proposed memory
network is based on simple network cells that are arranged in a hierarchical
modular architecture. Cognitive functionality of this network is demonstrated
by an example of character recognition. The network is trained by an
evolutionary process to completely recognise characters deformed by random
noise, rotation, scaling and shifting
",Cognitive Memory Network,Alex Pappachen James and Sima Dimitrijev,2010,Artificial Intelligence,
"  The holistic approach to sustainable urban planning implies using different
models in an integrated way that is capable of simulating the urban system. As
the interconnection of such models is not a trivial task, one of the key
elements that may be applied is the description of the urban geometric
properties in an ""interoperable"" way. Focusing on air quality as one of the
most pronounced urban problems, the geometric aspects of a city may be
described by objects such as those defined in CityGML, so that an appropriate
air quality model can be applied for estimating the quality of the urban air on
the basis of atmospheric flow and chemistry equations.
  In this paper we first present theoretical background and motivations for the
interconnection of 3D city models and other models related to sustainable
development and urban planning. Then we present a practical experiment based on
the interconnection of CityGML with an air quality model. Our approach is based
on the creation of an ontology of air quality models and on the extension of an
ontology of urban planning process (OUPP) that acts as an ontology mediator.
",Ontologies for the Integration of Air Quality Models and 3D City Models,"Claudine M\'etral, Gilles Falquet, Kostas Karatzas",2008,Artificial Intelligence,
"  This paper develops generalizations of empowerment to continuous states.
Empowerment is a recently introduced information-theoretic quantity motivated
by hypotheses about the efficiency of the sensorimotor loop in biological
organisms, but also from considerations stemming from curiosity-driven
learning. Empowemerment measures, for agent-environment systems with stochastic
transitions, how much influence an agent has on its environment, but only that
influence that can be sensed by the agent sensors. It is an
information-theoretic generalization of joint controllability (influence on
environment) and observability (measurement by sensors) of the environment by
the agent, both controllability and observability being usually defined in
control theory as the dimensionality of the control/observation spaces. Earlier
work has shown that empowerment has various interesting and relevant
properties, e.g., it allows us to identify salient states using only the
dynamics, and it can act as intrinsic reward without requiring an external
reward. However, in this previous work empowerment was limited to the case of
small-scale and discrete domains and furthermore state transition probabilities
were assumed to be known. The goal of this paper is to extend empowerment to
the significantly more important and relevant case of continuous vector-valued
state spaces and initially unknown state transition probabilities. The
continuous state space is addressed by Monte-Carlo approximation; the unknown
transitions are addressed by model learning and prediction for which we apply
Gaussian processes regression with iterated forecasting. In a number of
well-known continuous control tasks we examine the dynamics induced by
empowerment and include an application to exploration and online model
learning.
",Empowerment for Continuous Agent-Environment Systems,Tobias Jung and Daniel Polani and Peter Stone,2011,Artificial Intelligence,
"  The proposed feature selection method builds a histogram of the most stable
features from random subsets of a training set and ranks the features based on
a classifier based cross-validation. This approach reduces the instability of
features obtained by conventional feature selection methods that occur with
variation in training data and selection criteria. Classification results on
four microarray and three image datasets using three major feature selection
criteria and a naive Bayes classifier show considerable improvement over
benchmark results.
","Improving feature selection algorithms using normalised feature
  histograms",Alex Pappachen James and Akshay Maan,2011,Artificial Intelligence,
"  Data Mining techniques plays a vital role like extraction of required
knowledge, finding unsuspected information to make strategic decision in a
novel way which in term understandable by domain experts. A generalized frame
work is proposed by considering non - domain experts during mining process for
better understanding, making better decision and better finding new patters in
case of selecting suitable data mining techniques based on the user profile by
means of intelligent agents. KEYWORDS: Data Mining Techniques, Intelligent
Agents, User Profile, Multidimensional Visualization, Knowledge Discovery.
","A framework: Cluster detection and multidimensional visualization of
  automated data mining using intelligent agents","R. Jayabrabu, V. Saravanan, K. Vivekanandan",2012,Artificial Intelligence,
"  In this paper we propose two new algorithms based on biclustering analysis,
which can be used at the basis of a recommender system for educational
orientation of Russian School graduates. The first algorithm was designed to
help students make a choice between different university faculties when some of
their preferences are known. The second algorithm was developed for the special
situation when nothing is known about their preferences. The final version of
this recommender system will be used by Higher School of Economics.
",Recommender System Based on Algorithm of Bicluster Analysis RecBi,"Dmitry I. Ignatov, Jonas Poelmans, Vasily Zaharchuk",2011,Artificial Intelligence,
"  Concept Relation Discovery and Innovation Enabling Technology (CORDIET), is a
toolbox for gaining new knowledge from unstructured text data. At the core of
CORDIET is the C-K theory which captures the essential elements of innovation.
The tool uses Formal Concept Analysis (FCA), Emergent Self Organizing Maps
(ESOM) and Hidden Markov Models (HMM) as main artifacts in the analysis
process. The user can define temporal, text mining and compound attributes. The
text mining attributes are used to analyze the unstructured text in documents,
the temporal attributes use these document's timestamps for analysis. The
compound attributes are XML rules based on text mining and temporal attributes.
The user can cluster objects with object-cluster rules and can chop the data in
pieces with segmentation rules. The artifacts are optimized for efficient data
analysis; object labels in the FCA lattice and ESOM map contain an URL on which
the user can click to open the selected document.
",Concept Relation Discovery and Innovation Enabling Technology (CORDIET),"Jonas Poelmans, Paul Elzinga, Alexey Neznanov, Stijn Viaene, Sergei O.
  Kuznetsov, Dmitry Ignatov, Guido Dedene",2011,Artificial Intelligence,
"  This paper investigates a new method for improving the learning algorithm of
Mixture of Experts (ME) model using a hybrid of Modified Cuckoo Search (MCS)
and Conjugate Gradient (CG) as a second order optimization technique. The CG
technique is combined with Back-Propagation (BP) algorithm to yield a much more
efficient learning algorithm for ME structure. In addition, the experts and
gating networks in enhanced model are replaced by CG based Multi-Layer
Perceptrons (MLPs) to provide faster and more accurate learning. The CG is
considerably depends on initial weights of connections of Artificial Neural
Network (ANN), so, a metaheuristic algorithm, the so-called Modified Cuckoo
Search is applied in order to select the optimal weights. The performance of
proposed method is compared with Gradient Decent Based ME (GDME) and Conjugate
Gradient Based ME (CGME) in classification and regression problems. The
experimental results show that hybrid MSC and CG based ME (MCS-CGME) has faster
convergence and better performance in utilized benchmark data sets.
","Extended Mixture of MLP Experts by Hybrid of Conjugate Gradient Method
  and Modified Cuckoo Search","Hamid Salimi, Davar Giveki, Mohammad Ali Soltanshahi, Javad Hatami",2012,Artificial Intelligence,
"  Real-time search methods are suited for tasks in which the agent is
interacting with an initially unknown environment in real time. In such
simultaneous planning and learning problems, the agent has to select its
actions in a limited amount of time, while sensing only a local part of the
environment centered at the agents current location. Real-time heuristic search
agents select actions using a limited lookahead search and evaluating the
frontier states with a heuristic function. Over repeated experiences, they
refine heuristic values of states to avoid infinite loops and to converge to
better solutions. The wide spread of such settings in autonomous software and
hardware agents has led to an explosion of real-time search algorithms over the
last two decades. Not only is a potential user confronted with a hodgepodge of
algorithms, but he also faces the choice of control parameters they use. In
this paper we address both problems. The first contribution is an introduction
of a simple three-parameter framework (named LRTS) which extracts the core
ideas behind many existing algorithms. We then prove that LRTA*, epsilon-LRTA*,
SLA*, and gamma-Trap algorithms are special cases of our framework. Thus, they
are unified and extended with additional features. Second, we prove
completeness and convergence of any algorithm covered by the LRTS framework.
Third, we prove several upper-bounds relating the control parameters and
solution quality. Finally, we analyze the influence of the three control
parameters empirically in the realistic scalable domains of real-time
navigation on initially unknown maps from a commercial role-playing game as
well as routing in ad hoc sensor networks.
",Learning in Real-Time Search: A Unifying Framework,"V. Bulitko, G. Lee",2006,Artificial Intelligence,
"  Classification of targets by radar has proved to be notoriously difficult
with the best systems still yet to attain sufficiently high levels of
performance and reliability. In the current contribution we explore a new
design of radar based target recognition, where angular diversity is used in a
cognitive manner to attain better performance. Performance is bench- marked
against conventional classification schemes. The proposed scheme can easily be
extended to cognitive target recognition based on multiple diversity
strategies.
",A cognitive diversity framework for radar target classification,Amit K. Mishra and Chris Baker,2010,Artificial Intelligence,
"  It is widely recognized today that the management of imprecision and
vagueness will yield more intelligent and realistic knowledge-based
applications. Description Logics (DLs) are a family of knowledge representation
languages that have gained considerable attention the last decade, mainly due
to their decidability and the existence of empirically high performance of
reasoning algorithms. In this paper, we extend the well known fuzzy ALC DL to
the fuzzy SHIN DL, which extends the fuzzy ALC DL with transitive role axioms
(S), inverse roles (I), role hierarchies (H) and number restrictions (N). We
illustrate why transitive role axioms are difficult to handle in the presence
of fuzzy interpretations and how to handle them properly. Then we extend these
results by adding role hierarchies and finally number restrictions. The main
contributions of the paper are the decidability proof of the fuzzy DL languages
fuzzy-SI and fuzzy-SHIN, as well as decision procedures for the knowledge base
satisfiability problem of the fuzzy-SI and fuzzy-SHIN.
",Reasoning with Very Expressive Fuzzy Description Logics,"I. Horrocks, J. Z. Pan, G. Stamou, G. Stoilos, V. Tzouvaras",2007,Artificial Intelligence,
"  Exact Max-SAT solvers, compared with SAT solvers, apply little inference at
each node of the proof tree. Commonly used SAT inference rules like unit
propagation produce a simplified formula that preserves satisfiability but,
unfortunately, solving the Max-SAT problem for the simplified formula is not
equivalent to solving it for the original formula. In this paper, we define a
number of original inference rules that, besides being applied efficiently,
transform Max-SAT instances into equivalent Max-SAT instances which are easier
to solve. The soundness of the rules, that can be seen as refinements of unit
resolution adapted to Max-SAT, are proved in a novel and simple way via an
integer programming transformation. With the aim of finding out how powerful
the inference rules are in practice, we have developed a new Max-SAT solver,
called MaxSatz, which incorporates those rules, and performed an experimental
investigation. The results provide empirical evidence that MaxSatz is very
competitive, at least, on random Max-2SAT, random Max-3SAT, Max-Cut, and Graph
3-coloring instances, as well as on the benchmarks from the Max-SAT Evaluation
2006.
",New Inference Rules for Max-SAT,"C. M. Li, F. Manya, J. Planes",2007,Artificial Intelligence,
"  Research on agent communication languages has typically taken the speech acts
paradigm as its starting point. Despite their manifest attractions, speech-act
models of communication have several serious disadvantages as a foundation for
communication in artificial agent systems. In particular, it has proved to be
extremely difficult to give a satisfactory semantics to speech-act based agent
communication languages. In part, the problem is that speech-act semantics
typically make reference to the ""mental states"" of agents (their beliefs,
desires, and intentions), and there is in general no way to attribute such
attitudes to arbitrary computational agents. In addition, agent programming
languages have only had their semantics formalised for abstract, stand-alone
versions, neglecting aspects such as communication primitives. With respect to
communication, implemented agent programming languages have tended to be rather
ad hoc. This paper addresses both of these problems, by giving semantics to
speech-act based messages received by an AgentSpeak agent. AgentSpeak is a
logic-based agent programming language which incorporates the main features of
the PRS model of reactive planning systems. The paper builds upon a structural
operational semantics to AgentSpeak that we developed in previous work. The
main contributions of this paper are as follows: an extension of our earlier
work on the theoretical foundations of AgentSpeak interpreters; a
computationally grounded semantics for (the core) performatives used in
speech-act based agent communication languages; and a well-defined extension of
AgentSpeak that supports agent communication.
","On the Formal Semantics of Speech-Act Based Communication in an
  Agent-Oriented Programming Language","R. H. Bordini, A. F. Moreira, R. Vieira, M. Wooldridge",2007,Artificial Intelligence,
"  Reputation mechanisms offer an effective alternative to verification
authorities for building trust in electronic markets with moral hazard. Future
clients guide their business decisions by considering the feedback from past
transactions; if truthfully exposed, cheating behavior is sanctioned and thus
becomes irrational.
  It therefore becomes important to ensure that rational clients have the right
incentives to report honestly. As an alternative to side-payment schemes that
explicitly reward truthful reports, we show that honesty can emerge as a
rational behavior when clients have a repeated presence in the market. To this
end we describe a mechanism that supports an equilibrium where truthful
feedback is obtained. Then we characterize the set of pareto-optimal equilibria
of the mechanism, and derive an upper bound on the percentage of false reports
that can be recorded by the mechanism. An important role in the existence of
this bound is played by the fact that rational clients can establish a
reputation for reporting honestly.
",Obtaining Reliable Feedback for Sanctioning Reputation Mechanisms,"B. Faltings, R. Jurca",2007,Artificial Intelligence,
"  We present a new algorithm for probabilistic planning with no observability.
Our algorithm, called Probabilistic-FF, extends the heuristic forward-search
machinery of Conformant-FF to problems with probabilistic uncertainty about
both the initial state and action effects. Specifically, Probabilistic-FF
combines Conformant-FFs techniques with a powerful machinery for weighted model
counting in (weighted) CNFs, serving to elegantly define both the search space
and the heuristic function. Our evaluation of Probabilistic-FF shows its fine
scalability in a range of probabilistic domains, constituting a several orders
of magnitude improvement over previous results in this area. We use a
problematic case to point out the main open issue to be addressed by further
research.
","Probabilistic Planning via Heuristic Forward Search and Weighted Model
  Counting","C. Domshlak, J. Hoffmann",2007,Artificial Intelligence,
"  Conjunctive queries play an important role as an expressive query language
for Description Logics (DLs). Although modern DLs usually provide for
transitive roles, conjunctive query answering over DL knowledge bases is only
poorly understood if transitive roles are admitted in the query. In this paper,
we consider unions of conjunctive queries over knowledge bases formulated in
the prominent DL SHIQ and allow transitive roles in both the query and the
knowledge base. We show decidability of query answering in this setting and
establish two tight complexity bounds: regarding combined complexity, we prove
that there is a deterministic algorithm for query answering that needs time
single exponential in the size of the KB and double exponential in the size of
the query, which is optimal. Regarding data complexity, we prove containment in
co-NP.
",Conjunctive Query Answering for the Description Logic SHIQ,"Birte Glimm, Ian Horrocks, Carsten Lutz, Ulrike Sattler",2008,Artificial Intelligence,
"  Experience in the physical sciences suggests that the only realistic means of
understanding complex systems is through the use of mathematical models.
Typically, this has come to mean the identification of quantitative models
expressed as differential equations. Quantitative modelling works best when the
structure of the model (i.e., the form of the equations) is known; and the
primary concern is one of estimating the values of the parameters in the model.
For complex biological systems, the model-structure is rarely known and the
modeler has to deal with both model-identification and parameter-estimation. In
this paper we are concerned with providing automated assistance to the first of
these problems. Specifically, we examine the identification by machine of the
structural relationships between experimentally observed variables. These
relationship will be expressed in the form of qualitative abstractions of a
quantitative model. Such qualitative models may not only provide clues to the
precise quantitative model, but also assist in understanding the essence of
that model. Our position in this paper is that background knowledge
incorporating system modelling principles can be used to constrain effectively
the set of good qualitative models. Utilising the model-identification
framework provided by Inductive Logic Programming (ILP) we present empirical
support for this position using a series of increasingly complex artificial
datasets. The results are obtained with qualitative and quantitative data
subject to varying amounts of noise and different degrees of sparsity. The
results also point to the presence of a set of qualitative states, which we
term kernel subsets, that may be necessary for a qualitative model-learner to
learn correct models. We demonstrate scalability of the method to biological
system modelling by identification of the glycolysis metabolic pathway from
data.
",Qualitative System Identification from Imperfect Data,"George M. Coghill, Ross D. King, Ashwin Srinivasan",2008,Artificial Intelligence,
"  Multi-robot path planning is difficult due to the combinatorial explosion of
the search space with every new robot added. Complete search of the combined
state-space soon becomes intractable. In this paper we present a novel form of
abstraction that allows us to plan much more efficiently. The key to this
abstraction is the partitioning of the map into subgraphs of known structure
with entry and exit restrictions which we can represent compactly. Planning
then becomes a search in the much smaller space of subgraph configurations.
Once an abstract plan is found, it can be quickly resolved into a correct (but
possibly sub-optimal) concrete plan without the need for further search. We
prove that this technique is sound and complete and demonstrate its practical
effectiveness on a real map.
  A contending solution, prioritised planning, is also evaluated and shown to
have similar performance albeit at the cost of completeness. The two approaches
are not necessarily conflicting; we demonstrate how they can be combined into a
single algorithm which outperforms either approach alone.
",Exploiting Subgraph Structure in Multi-Robot Path Planning,Malcolm Ross Kinsella Ryan,2008,Artificial Intelligence,
"  Model checking is a promising technology, which has been applied for
verification of many hardware and software systems. In this paper, we introduce
the concept of model update towards the development of an automatic system
modification tool that extends model checking functions. We define primitive
update operations on the models of Computation Tree Logic (CTL) and formalize
the principle of minimal change for CTL model update. These primitive update
operations, together with the underlying minimal change principle, serve as the
foundation for CTL model update. Essential semantic and computational
characterizations are provided for our CTL model update approach. We then
describe a formal algorithm that implements this approach. We also illustrate
two case studies of CTL model updates for the well-known microwave oven example
and the Andrew File System 1, from which we further propose a method to
optimize the update results in complex system modifications.
",CTL Model Update for System Modifications,"Yulin Ding, Y. Ding, Yan Zhang, Y. Zhang",2008,Artificial Intelligence,
"  Ontologies and automated reasoning are the building blocks of the Semantic
Web initiative. Derivation rules can be included in an ontology to define
derived concepts, based on base concepts. For example, rules allow to define
the extension of a class or property, based on a complex relation between the
extensions of the same or other classes and properties. On the other hand, the
inclusion of negative information both in the form of negation-as-failure and
explicit negative information is also needed to enable various forms of
reasoning. In this paper, we extend RDF graphs with weak and strong negation,
as well as derivation rules. The ERDF stable model semantics of the extended
framework (Extended RDF) is defined, extending RDF(S) semantics. A distinctive
feature of our theory, which is based on Partial Logic, is that both truth and
falsity extensions of properties and classes are considered, allowing for truth
value gaps. Our framework supports both closed-world and open-world reasoning
through the explicit representation of the particular closed-world assumptions
and the ERDF ontological categories of total properties and total classes.
",Extended RDF as a Semantic Foundation of Rule Markup Languages,"Anastasia Analyti, Grigoris Antoniou, Carlos Viegas Dam\'asio, Gerd
  Wagner",2008,Artificial Intelligence,
"  We present three new complexity results for classes of planning problems with
simple causal graphs. First, we describe a polynomial-time algorithm that uses
macros to generate plans for the class 3S of planning problems with binary
state variables and acyclic causal graphs. This implies that plan generation
may be tractable even when a planning problem has an exponentially long minimal
solution. We also prove that the problem of plan existence for planning
problems with multi-valued variables and chain causal graphs is NP-hard.
Finally, we show that plan existence for planning problems with binary state
variables and polytree causal graphs is NP-complete.
",The Complexity of Planning Problems With Simple Causal Graphs,"Omer Gim\'enez, Anders Jonsson",2008,Artificial Intelligence,
"  We represent planning as a set of loosely coupled network flow problems,
where each network corresponds to one of the state variables in the planning
domain. The network nodes correspond to the state variable values and the
network arcs correspond to the value transitions. The planning problem is to
find a path (a sequence of actions) in each network such that, when merged,
they constitute a feasible plan. In this paper we present a number of integer
programming formulations that model these loosely coupled networks with varying
degrees of flexibility. Since merging may introduce exponentially many ordering
constraints we implement a so-called branch-and-cut algorithm, in which these
constraints are dynamically generated and added to the formulation when needed.
Our results are very promising, they improve upon previous planning as integer
programming approaches and lay the foundation for integer programming
approaches for cost optimal planning.
","Loosely Coupled Formulations for Automated Planning: An Integer
  Programming Perspective","Menkes Hector Louis van den Briel, Thomas Vossen, Subbarao Kambhampati",2008,Artificial Intelligence,
"  In a facility with front room and back room operations, it is useful to
switch workers between the rooms in order to cope with changing customer
demand. Assuming stochastic customer arrival and service times, we seek a
policy for switching workers such that the expected customer waiting time is
minimized while the expected back room staffing is sufficient to perform all
work. Three novel constraint programming models and several shaving procedures
for these models are presented. Experimental results show that a model based on
closed-form expressions together with a combination of shaving procedures is
the most efficient. This model is able to find and prove optimal solutions for
many problem instances within a reasonable run-time. Previously, the only
available approach was a heuristic algorithm. Furthermore, a hybrid method
combining the heuristic and the best constraint programming method is shown to
perform as well as the heuristic in terms of solution quality over time, while
achieving the same performance in terms of proving optimality as the pure
constraint programming model. This is the first work of which we are aware that
solves such queueing-based problems with constraint programming.
",A Constraint Programming Approach for Solving a Queueing Control Problem,"Daria Terekhov, J. Christopher Beck",2008,Artificial Intelligence,
"  Decision-theoretic planning is a popular approach to sequential decision
making problems, because it treats uncertainty in sensing and acting in a
principled way. In single-agent frameworks like MDPs and POMDPs, planning can
be carried out by resorting to Q-value functions: an optimal Q-value function
Q* is computed in a recursive manner by dynamic programming, and then an
optimal policy is extracted from Q*. In this paper we study whether similar
Q-value functions can be defined for decentralized POMDP models (Dec-POMDPs),
and how policies can be extracted from such value functions. We define two
forms of the optimal Q-value function for Dec-POMDPs: one that gives a
normative description as the Q-value function of an optimal pure joint policy
and another one that is sequentially rational and thus gives a recipe for
computation. This computation, however, is infeasible for all but the smallest
problems. Therefore, we analyze various approximate Q-value functions that
allow for efficient computation. We describe how they relate, and we prove that
they all provide an upper bound to the optimal Q-value function Q*. Finally,
unifying some previous approaches for solving Dec-POMDPs, we describe a family
of algorithms for extracting policies from such Q-value functions, and perform
an experimental evaluation on existing test problems, including a new
firefighting benchmark problem.
",Optimal and Approximate Q-value Functions for Decentralized POMDPs,"Frans A. Oliehoek, Matthijs T. J. Spaan, Nikos Vlassis",2008,Artificial Intelligence,
"  Multi-agent planning in stochastic environments can be framed formally as a
decentralized Markov decision problem. Many real-life distributed problems that
arise in manufacturing, multi-robot coordination and information gathering
scenarios can be formalized using this framework. However, finding the optimal
solution in the general case is hard, limiting the applicability of recently
developed algorithms. This paper provides a practical approach for solving
decentralized control problems when communication among the decision makers is
possible, but costly. We develop the notion of communication-based mechanism
that allows us to decompose a decentralized MDP into multiple single-agent
problems. In this framework, referred to as decentralized semi-Markov decision
process with direct communication (Dec-SMDP-Com), agents operate separately
between communications. We show that finding an optimal mechanism is equivalent
to solving optimally a Dec-SMDP-Com. We also provide a heuristic search
algorithm that converges on the optimal decomposition. Restricting the
decomposition to some specific types of local behaviors reduces significantly
the complexity of planning. In particular, we present a polynomial-time
algorithm for the case in which individual agents perform goal-oriented
behaviors between communications. The paper concludes with an additional
tractable algorithm that enables the introduction of human knowledge, thereby
reducing the overall problem to finding the best time to communicate. Empirical
results show that these approaches provide good approximate solutions.
",Communication-Based Decomposition Mechanisms for Decentralized MDPs,"Claudia V. Goldman, Shlomo Zilberstein",2008,Artificial Intelligence,
"  Informally, a set of abstractions of a state space S is additive if the
distance between any two states in S is always greater than or equal to the sum
of the corresponding distances in the abstract spaces. The first known additive
abstractions, called disjoint pattern databases, were experimentally
demonstrated to produce state of the art performance on certain state spaces.
However, previous applications were restricted to state spaces with special
properties, which precludes disjoint pattern databases from being defined for
several commonly used testbeds, such as Rubiks Cube, TopSpin and the Pancake
puzzle. In this paper we give a general definition of additive abstractions
that can be applied to any state space and prove that heuristics based on
additive abstractions are consistent as well as admissible. We use this new
definition to create additive abstractions for these testbeds and show
experimentally that well chosen additive abstractions can reduce search time
substantially for the (18,4)-TopSpin puzzle and by three orders of magnitude
over state of the art methods for the 17-Pancake puzzle. We also derive a way
of testing if the heuristic value returned by additive abstractions is provably
too low and show that the use of this test can reduce search time for the
15-puzzle and TopSpin by roughly a factor of two.
",A General Theory of Additive State Space Abstractions,"Fan Yang, Joseph Culberson, Robert Holte, Uzi Zahavi, Ariel Felner",2008,Artificial Intelligence,
"  Markov decision processes capture sequential decision making under
uncertainty, where an agent must choose actions so as to optimize long term
reward. The paper studies efficient reasoning mechanisms for Relational Markov
Decision Processes (RMDP) where world states have an internal relational
structure that can be naturally described in terms of objects and relations
among them. Two contributions are presented. First, the paper develops First
Order Decision Diagrams (FODD), a new compact representation for functions over
relational structures, together with a set of operators to combine FODDs, and
novel reduction techniques to keep the representation small. Second, the paper
shows how FODDs can be used to develop solutions for RMDPs, where reasoning is
performed at the abstract level and the resulting optimal policy is independent
of domain size (number of objects) or instantiation. In particular, a variant
of the value iteration algorithm is developed by using special operations over
FODDs, and the algorithm is shown to converge to the optimal policy.
",First Order Decision Diagrams for Relational MDPs,"Chenggang Wang, Saket Joshi, Roni Khardon",2008,Artificial Intelligence,
